condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_full_case1,case1,full,1,98401,0,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.06009214817021086,1.0046400347946927,25.150000000000222,0.28090006855689736
formal_ablation_full_case1,case1,full,1,98401,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.025418197392440403,1.2312938701358247,26.100000000000236,0.8832207597447805
formal_ablation_full_case1,case1,full,1,98401,2,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.042700520436942536,0.6505748806131678,24.600000000000215,0.6505748806131678
formal_ablation_full_case1,case1,full,1,98401,3,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.00945689709757833,1.4064150609002377,26.750000000000245,1.4064150609002377
formal_ablation_full_case1,case1,full,1,98401,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.024067682687612287,1.063160853860194,25.900000000000233,1.063160853860194
formal_ablation_full_case1,case1,full,1,98401,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.07640957619679005,2.3208667363049953,26.50000000000024,1.6263904877114663
formal_ablation_full_case1,case1,full,1,98401,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.0489578767159856,1.4209494211600027,24.850000000000218,0.7938627557836786
formal_ablation_full_case1,case1,full,1,98401,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.03959272620411149,2.106500389077218,25.200000000000223,1.4274936978883244
formal_ablation_full_case1,case1,full,2,98402,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.0893925577277807,1.0880338641290352,26.45000000000024,0.6494976775961626
formal_ablation_full_case1,case1,full,2,98402,1,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.030881824272970527,2.2137867592154348,24.750000000000217,1.2650824350761667
formal_ablation_full_case1,case1,full,2,98402,2,3,3,1,1,1,0.15000000000000213,0.05555555555555477,0.04776366563177197,1.5081825827287434,26.250000000000238,0.5302831710241499
formal_ablation_full_case1,case1,full,2,98402,3,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.025653682430800486,1.034775268558516,24.850000000000218,0.4307120652544763
formal_ablation_full_case1,case1,full,2,98402,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.019193602996346794,2.096057154044215,27.300000000000253,1.125932623423181
formal_ablation_full_case1,case1,full,2,98402,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.017767207880555046,0.6969061527307528,24.500000000000213,0.28470907861291384
formal_ablation_full_case1,case1,full,2,98402,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.019924419761305143,1.0072184965968822,28.800000000000274,0.3995142789698154
formal_ablation_full_case1,case1,full,2,98402,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.02057484451985781,1.6784255576003495,26.45000000000024,0.47044409118135344
formal_ablation_full_case1,case1,full,3,98403,0,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.03628229164263084,2.178732156656435,28.250000000000266,1.1122450397477401
formal_ablation_full_case1,case1,full,3,98403,1,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.038151345537919795,1.2351139963905853,27.550000000000257,0.7897420731903534
formal_ablation_full_case1,case1,full,3,98403,2,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.02377837644290472,1.7482117000892494,24.700000000000216,0.9366402780110427
formal_ablation_full_case1,case1,full,3,98403,3,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.02703926081894836,0.3010863075136158,26.250000000000238,0.2245519184456122
formal_ablation_full_case1,case1,full,3,98403,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.029227919274028263,1.0639246789136236,26.650000000000244,0.6960375362902511
formal_ablation_full_case1,case1,full,3,98403,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03217380466052558,1.420651136236398,27.400000000000254,1.074538546945841
formal_ablation_full_case1,case1,full,3,98403,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.01714676147266679,1.281712064766217,29.30000000000028,0.2503801407350804
formal_ablation_full_case1,case1,full,3,98403,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.026348473042878663,0.302558345087154,26.750000000000245,0.302558345087154
formal_ablation_full_case1,case1,full,4,98404,0,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.011574279282151217,1.372585857990287,28.050000000000264,0.7746241315811467
formal_ablation_full_case1,case1,full,4,98404,1,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.011580596469884297,0.5191060755793333,27.10000000000025,0.5191060755793333
formal_ablation_full_case1,case1,full,4,98404,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.02223260580937898,1.4009552514725574,23.250000000000195,1.4009552514725574
formal_ablation_full_case1,case1,full,4,98404,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.012055893194761918,1.6318255148467842,27.600000000000257,0.642795578312227
formal_ablation_full_case1,case1,full,4,98404,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02373401942068326,1.3805064197085835,28.750000000000274,0.6742785489711812
formal_ablation_full_case1,case1,full,4,98404,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02815866166174293,2.1583144787462576,25.05000000000022,1.6440528936371048
formal_ablation_full_case1,case1,full,4,98404,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04853990792045512,1.3884339696328998,27.20000000000025,1.3884339696328998
formal_ablation_full_case1,case1,full,4,98404,7,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.05014251889643272,1.363047948187384,25.300000000000225,0.3467792809942774
formal_ablation_full_case1,case1,full,5,98405,0,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.059294716640641926,2.1750704751235,25.550000000000228,1.119986140006137
formal_ablation_full_case1,case1,full,5,98405,1,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.007364593745900675,1.4492285073888682,26.050000000000235,0.7530220064228631
formal_ablation_full_case1,case1,full,5,98405,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.04893039444399657,1.3861533962389767,28.000000000000263,0.8599718291350755
formal_ablation_full_case1,case1,full,5,98405,3,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.04410607642143593,1.2602671125876388,28.45000000000027,0.39835203094559307
formal_ablation_full_case1,case1,full,5,98405,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.025198433460903443,1.1916440683079368,25.200000000000223,0.6058290346360977
formal_ablation_full_case1,case1,full,5,98405,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.05042938698100317,0.4433706594491181,25.60000000000023,0.4433706594491181
formal_ablation_full_case1,case1,full,5,98405,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.02717981466200638,1.2710050500244257,29.650000000000286,0.5698522619909526
formal_ablation_full_case1,case1,full,5,98405,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01990518326026381,1.121583333238595,27.75000000000026,0.6542649782346948
formal_ablation_full_case1,case1,full,6,98406,0,3,3,1,1,1,0.25000000000000355,0.08888888888889095,0.019972405987770604,1.1030008705548315,26.000000000000234,0.509887828218469
formal_ablation_full_case1,case1,full,6,98406,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.012376620045569553,2.552915195862345,26.100000000000236,2.1137436313667086
formal_ablation_full_case1,case1,full,6,98406,2,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.027001538566396976,1.6950921942139097,28.350000000000268,0.5273801643876567
formal_ablation_full_case1,case1,full,6,98406,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.019001818537899007,1.5211156192119555,29.000000000000277,0.6588551324801256
formal_ablation_full_case1,case1,full,6,98406,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.022537534598623662,0.9926681514391082,28.000000000000263,0.9926681514391082
formal_ablation_full_case1,case1,full,6,98406,5,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.03851296656945161,2.2073048868980187,28.250000000000266,1.0084074124853004
formal_ablation_full_case1,case1,full,6,98406,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.038225191051598335,1.2679643666784164,27.05000000000025,0.3454727541845021
formal_ablation_full_case1,case1,full,6,98406,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02388700565155418,1.626271633842553,25.65000000000023,1.390938359465494
formal_ablation_full_case1,case1,full,7,98407,0,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.030307584439640822,1.420677206786845,27.600000000000257,0.886499068941264
formal_ablation_full_case1,case1,full,7,98407,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.034000792953234195,1.2459578294435574,26.30000000000024,0.8156235900781491
formal_ablation_full_case1,case1,full,7,98407,2,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.014515731256043796,2.1330292228238643,26.850000000000247,1.082122813063402
formal_ablation_full_case1,case1,full,7,98407,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.021813843546561285,1.206865072032858,27.950000000000262,0.2857367751872991
formal_ablation_full_case1,case1,full,7,98407,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02598969459317469,0.9957012559257461,26.950000000000248,0.605966767229497
formal_ablation_full_case1,case1,full,7,98407,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.04888297104196723,0.41387807185187475,26.700000000000244,0.41387807185187475
formal_ablation_full_case1,case1,full,7,98407,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.024505717810905693,1.0489074685817674,26.750000000000245,0.40003885931175204
formal_ablation_full_case1,case1,full,7,98407,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.02395346232472801,1.875950222531971,27.10000000000025,1.1807114948346389
formal_ablation_full_case1,case1,full,8,98408,0,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.039960387734481996,1.9115114170939045,28.750000000000274,0.7668850739482114
formal_ablation_full_case1,case1,full,8,98408,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.0249449076360392,1.879614637864006,27.15000000000025,1.7800102013112156
formal_ablation_full_case1,case1,full,8,98408,2,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.013814544527843614,1.678328275344241,28.45000000000027,0.8276971044433791
formal_ablation_full_case1,case1,full,8,98408,3,3,3,1,1,1,0.20000000000000284,0.0666666666666688,0.041159628953564405,1.186397589703439,25.900000000000233,0.7811257653468925
formal_ablation_full_case1,case1,full,8,98408,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01402977052521271,1.0051804827056892,25.150000000000222,0.3533237230119055
