condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_no_trust_case1,case1,no_trust,1,98401,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.061458333333334204,0.04197335703041948,1.1294369914012168,26.093750000000234,0.9055744934510699,2.8448150674557,441676.8238129102,27.1,0.0,0.0,0.0,0.0,1.0,10.089038716799314,0.017328369286258118,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,2,98402,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0652777777777788,0.031926818784715025,1.40122647050719,26.600000000000243,0.8124185572064704,2.391315982167771,441680.5935720913,29.25,0.0,0.0,0.0,0.0,1.0,11.086249187312271,0.01915025684397913,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,3,98403,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0652777777777785,0.025934496965319,1.4788423226019902,27.500000000000256,0.9166160400553895,2.9319202082385347,441703.8463986831,29.75,0.0,0.0,0.0,0.0,1.0,8.10868600457866,0.017332392802764142,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,4,98404,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0656250000000008,0.025710356487944164,1.0223353447105663,26.96875000000025,0.7687323845338675,2.1184601656765487,441707.56490693986,29.3,0.0,0.0,0.0,0.0,1.0,11.874800704889331,0.01100320277725014,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,5,98405,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06493055555555623,0.03529663451988218,1.635166827726286,27.431250000000254,0.9673295838220299,2.865277839736402,441728.14697486983,30.1,0.0,0.0,0.0,0.0,1.0,10.512647048496591,0.011107487162328846,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,6,98406,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07013888888889008,0.02800972702394023,1.380524189977339,27.68750000000026,0.7902858445283183,1.7996278134536934,441752.9046651229,29.200000000000003,0.0,0.0,0.0,0.0,1.0,12.769005482600699,0.016303483256259493,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,7,98407,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.059722222222223266,0.026013923915480998,1.0715371148244295,27.443750000000254,0.6882107253013892,2.6876969635373738,441736.0075086035,28.150000000000002,0.0,0.0,0.0,0.0,1.0,11.860496042856475,0.014816447615196356,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,8,98408,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06493055555555623,0.024421713714522376,1.3771427026983059,27.51250000000026,0.7420028691596863,2.8558970755170927,441763.8610211864,28.900000000000002,0.0,0.0,0.0,0.0,1.0,10.912427043262094,0.013195651398567184,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,9,98409,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06666666666666746,0.036497924455027295,1.7240672896418536,27.475000000000257,1.0378426216989916,2.511239621168698,441751.8823390333,29.05,0.0,0.0,0.0,0.0,1.0,9.34654427939321,0.012349343333738183,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,10,98410,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.05173611111111194,0.019225336711905697,1.1717014228921558,27.12500000000025,0.7774188124007402,2.744577271525679,441751.81941584946,28.3,0.0,0.0,0.0,0.0,1.0,12.036220285768271,0.013555525876730586,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,11,98411,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06388888888888984,0.022942322813801624,1.3296216914843408,27.15625000000025,0.7308226909000421,2.0365030330242186,441726.86421797425,28.450000000000003,0.0,0.0,0.0,0.0,1.0,11.66213575108394,0.0219413504242728,0.0,nan,nan,nan,0
formal_ablation_no_trust_case1,case1,no_trust,12,98412,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07326388888889013,0.02755580974681706,1.7204656729903158,27.10000000000025,1.000945610255518,2.964772585048939,441732.15388968436,29.200000000000003,0.0,0.0,0.0,0.0,1.0,11.070495788493798,0.019027911510231605,0.0,nan,nan,nan,0
