condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves,case4_geometry
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05902777777777857,0.14278221601975777,1.3988818220190922,27.92500000000026,0.7405787853172461,2.8680573057912104,441536.30817648175,29.5,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.051736111111111795,0.1756807073542596,1.590405813194465,27.268750000000253,0.8283683743066336,2.984279839895446,441612.05348707,30.35,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,3,99403,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.0440972222222229,0.13120794814319314,1.281476186433219,26.806250000000247,0.7454883931627296,2.770325891446565,441559.3794992365,28.400000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,4,99404,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.06250000000000089,0.18067163683655174,1.4093869711912679,27.018750000000246,0.8460602401262447,2.8075216184942615,441525.5777518357,29.35,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,5,99405,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.0555555555555561,0.18275961678991176,1.4627289680236912,26.900000000000247,0.9602703530034733,2.918232646349918,441600.9900840506,28.55,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,6,99406,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05486111111111214,0.14707819917424028,1.742708548990593,26.706250000000246,0.8386374557213827,2.51316906194568,441572.3276486999,27.85,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,7,99407,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.0555555555555564,0.21409253926652877,1.3535847408769026,25.081250000000225,0.7596253947747188,1.9625348720989728,441494.27134164964,27.950000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,8,99408,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05243055555555649,0.14864525998523553,1.6035918213750795,27.70000000000026,0.7197954376406173,2.853459610895788,441620.0881632139,30.150000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,9,99409,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.052777777777778624,0.19163839461047338,1.3913114529385502,25.375000000000227,0.8217796267424955,2.969406715542707,441506.50252906716,27.950000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,10,99410,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04166666666666726,0.1506530338846031,1.439152713823201,27.287500000000254,0.8467879076548293,2.985768749533646,441589.72982162156,29.35,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,11,99411,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05486111111111199,0.1687379411173499,1.324488778037643,27.06250000000025,0.7130503207438444,2.6916168286484656,441606.7475027518,28.700000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,12,99412,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.0569444444444452,0.19087173533515078,1.1718790519981854,27.312500000000252,0.6823281067524367,2.8628192221216398,441614.6046160577,28.400000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,13,99413,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.048611111111111605,0.18177392673890874,1.521333349433571,27.57500000000026,0.8654526067263344,2.46472333262496,441613.42323159624,29.200000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
