episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case1,8,19,8,7,True,False,0.0500030517578125,0.028571536764502525,438.39209154457785,8767.841830891557
2,case1,8,20,8,8,True,True,0.0500030517578125,0.02500009536743164,433.24753916189076,8664.950783237815
3,case1,8,20,8,8,True,True,0.0500030517578125,0.03125,433.2725496487692,8665.450992975384
4,case1,8,19,8,7,True,False,0.049999237060546875,0.02857099287211895,438.95790367485023,8779.158073497005
5,case1,8,19,8,7,True,False,0.0500030517578125,0.0357142873108387,439.16322179264387,8783.264435852878
6,case1,8,20,8,8,True,True,0.0500030517578125,0.03125,433.2555724983569,8665.111449967138
7,case1,8,20,8,8,True,True,0.0500030517578125,0.012500286102294922,433.3632931497879,8667.265862995759
8,case1,8,20,8,8,True,True,0.0500030517578125,0.02500009536743164,433.2703849420883,8665.407698841766
9,case1,8,20,8,8,True,True,0.0500030517578125,0.03125,433.2826355569065,8665.65271113813
10,case1,8,19,8,7,True,False,0.0500030517578125,0.028571536764502525,438.3705807732884,8767.411615465768
11,case1,8,20,8,8,True,True,0.0500030517578125,0.02500009536743164,433.34662355529144,8666.932471105829
12,case1,8,20,8,8,True,True,0.0500030517578125,0.012500286102294922,433.3853581395,8667.70716279
13,case1,8,20,8,8,True,True,0.0500030517578125,0.01875019073486328,433.29149220692926,8665.829844138585
14,case1,8,20,8,8,True,True,0.0500030517578125,0.01875019073486328,433.40681417346934,8668.136283469386
15,case1,8,20,8,8,True,True,0.0500030517578125,0.03125,433.2609417400323,8665.218834800646
16,case1,8,20,8,8,True,True,0.0500030517578125,0.01875019073486328,433.3588779388927,8667.177558777854
17,case1,8,20,8,8,True,True,0.0500030517578125,0.03125,433.2941221546847,8665.882443093695
18,case1,8,20,8,8,True,True,0.0500030517578125,0.03125,433.32262295042165,8666.452459008433
19,case1,8,19,8,7,True,False,0.0500030517578125,0.028571536764502525,438.3105371299665,8766.21074259933
20,case1,8,20,8,8,True,True,0.0500030517578125,0.01875019073486328,433.27605241313574,8665.521048262715
