condition,case,variant,episode,seed,assignment_mode,defender_id,target_index,target_id,idbo_best_cost,idbo_repaired_cost,idbo_runtime_ms,idbo_final_disagreement,repair_moves
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,0,0,20,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,1,1,21,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,2,2,22,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,3,3,23,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,4,4,24,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,5,5,25,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,6,6,26,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,7,7,27,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,8,0,20,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,9,1,21,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,10,2,22,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,11,3,23,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,12,4,24,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,13,5,25,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,14,6,26,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,15,7,27,nan,nan,0.0,nan,0
gru_delay_screen_no_gru_case2_d3,case2,no_gru,9,99009,fixed,16,0,20,nan,nan,0.0,nan,0
