condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
pooled_ablation_n1000_full_case1,case1,full,1,100001,0,3,3,1,1,1,0.25000000000000355,0.10000000000000142,0.01835722980668896,2.4382236113951823,29.20000000000028,1.1271788316828728
pooled_ablation_n1000_full_case1,case1,full,1,100001,1,3,3,1,1,1,0.30000000000000426,0.12222222222222356,0.03285255493936429,1.6357621756732108,28.950000000000276,0.7024511384802884
pooled_ablation_n1000_full_case1,case1,full,1,100001,2,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.027754585348467743,0.8818021410143411,28.100000000000264,0.49920179781266194
pooled_ablation_n1000_full_case1,case1,full,1,100001,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.014147445543710694,1.4444790575725441,28.050000000000264,0.9272935727015038
pooled_ablation_n1000_full_case1,case1,full,1,100001,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04497705371061507,1.4726985037650877,25.00000000000022,0.3883385226694515
pooled_ablation_n1000_full_case1,case1,full,1,100001,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04662384880994792,2.4773357487875645,24.800000000000217,1.8059413497516987
pooled_ablation_n1000_full_case1,case1,full,1,100001,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.03741469318427898,0.31743073183463544,25.200000000000223,0.31743073183463544
pooled_ablation_n1000_full_case1,case1,full,1,100001,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02831948714320189,0.4141969310996545,27.70000000000026,0.4141969310996545
pooled_ablation_n1000_full_case1,case1,full,2,100002,0,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.037648530897432565,2.8729821847402324,26.050000000000235,1.3671353694965847
pooled_ablation_n1000_full_case1,case1,full,2,100002,1,3,3,1,1,1,0.20000000000000284,0.0666666666666688,0.021491110360620833,1.694058466906214,27.500000000000256,1.064637506042435
pooled_ablation_n1000_full_case1,case1,full,2,100002,2,3,3,1,1,1,0.25000000000000355,0.08888888888888975,0.02692198093214028,1.6637206912050218,26.30000000000024,0.4967772475096286
pooled_ablation_n1000_full_case1,case1,full,2,100002,3,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.008765761084955087,1.6524221540942232,28.50000000000027,0.7312206658521854
pooled_ablation_n1000_full_case1,case1,full,2,100002,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.01032007420816561,1.3938224704693174,26.100000000000236,0.7124405599888075
pooled_ablation_n1000_full_case1,case1,full,2,100002,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.026505196629512534,1.514684947563209,26.000000000000234,1.514684947563209
pooled_ablation_n1000_full_case1,case1,full,2,100002,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.08172431162506133,1.1591852905098217,27.300000000000253,1.1591852905098217
pooled_ablation_n1000_full_case1,case1,full,2,100002,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.016372459959319283,2.87471004267907,28.300000000000267,1.6986657675150922
pooled_ablation_n1000_full_case1,case1,full,3,100003,0,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.019850616230218516,1.705621047593682,29.25000000000028,0.9673038304856153
pooled_ablation_n1000_full_case1,case1,full,3,100003,1,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.02489769348378862,0.5617284672605419,27.20000000000025,0.291479796764873
pooled_ablation_n1000_full_case1,case1,full,3,100003,2,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.01671598476749408,1.6430689726840393,24.20000000000021,1.2328822649181896
pooled_ablation_n1000_full_case1,case1,full,3,100003,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.09615809132136145,0.6147479451270437,27.75000000000026,0.15680289421926144
pooled_ablation_n1000_full_case1,case1,full,3,100003,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.010554933402772089,0.5329133274850414,25.150000000000222,0.5329133274850414
pooled_ablation_n1000_full_case1,case1,full,3,100003,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.0489029514248736,1.4534179411817876,27.10000000000025,0.8099139873669385
pooled_ablation_n1000_full_case1,case1,full,3,100003,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.032714513704464335,1.9564644934162694,26.200000000000237,1.1380397124679829
pooled_ablation_n1000_full_case1,case1,full,3,100003,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.039320576123211125,1.9037851594248987,25.850000000000232,0.801665902840963
pooled_ablation_n1000_full_case1,case1,full,4,100004,0,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.035336840632482276,2.076496270422003,28.55000000000027,1.0671933743081432
pooled_ablation_n1000_full_case1,case1,full,4,100004,1,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.055922469229572384,0.9497441255017322,26.150000000000237,0.9099858922179923
pooled_ablation_n1000_full_case1,case1,full,4,100004,2,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.053363024080769074,1.8789253188246644,26.200000000000237,0.8329822165589847
pooled_ablation_n1000_full_case1,case1,full,4,100004,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.04341656773989402,2.2076431385677666,24.95000000000022,1.2151769761331666
pooled_ablation_n1000_full_case1,case1,full,4,100004,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.02080705915508392,2.008252214693935,27.450000000000255,1.4058459757153636
pooled_ablation_n1000_full_case1,case1,full,4,100004,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.023232168926917214,1.199058560024414,29.550000000000285,0.5602365707388701
pooled_ablation_n1000_full_case1,case1,full,4,100004,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.023312492490148606,2.43327767918121,24.450000000000212,1.3086074925111446
pooled_ablation_n1000_full_case1,case1,full,4,100004,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.030700997466572462,0.7198508030009462,28.200000000000266,0.6978977206924586
pooled_ablation_n1000_full_case1,case1,full,5,100005,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.06988748652395783,2.09240304015812,26.700000000000244,0.9137142288001016
pooled_ablation_n1000_full_case1,case1,full,5,100005,1,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.03107412243771483,1.9057540052906354,25.80000000000023,1.1170153741448707
pooled_ablation_n1000_full_case1,case1,full,5,100005,2,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.028725988649739163,1.2855502999213702,26.250000000000238,0.8944317057158707
pooled_ablation_n1000_full_case1,case1,full,5,100005,3,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.015555096461581307,2.7280321124597555,26.950000000000248,1.419974415875047
pooled_ablation_n1000_full_case1,case1,full,5,100005,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.015449307679066854,1.3920853330834253,25.500000000000227,0.3366868092068055
pooled_ablation_n1000_full_case1,case1,full,5,100005,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.027612432580375525,1.1509738821308209,28.55000000000027,1.1509738821308209
pooled_ablation_n1000_full_case1,case1,full,5,100005,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.04897738721413949,0.7939329129957995,27.300000000000253,0.7149087099381688
pooled_ablation_n1000_full_case1,case1,full,5,100005,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.03001883020982732,1.6355375315813094,25.70000000000023,0.9783018993776612
pooled_ablation_n1000_full_case1,case1,full,6,100006,0,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.02875297229939132,2.5881454227894913,25.450000000000227,1.2099478921593882
pooled_ablation_n1000_full_case1,case1,full,6,100006,1,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.0065539032219866745,1.6953631200663988,26.050000000000235,1.0545722172675556
pooled_ablation_n1000_full_case1,case1,full,6,100006,2,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.04928625915352423,0.5633922191109927,25.950000000000234,0.3387480603215618
pooled_ablation_n1000_full_case1,case1,full,6,100006,3,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.038033518452600175,1.5750969038599905,27.550000000000257,1.1257369724293442
pooled_ablation_n1000_full_case1,case1,full,6,100006,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.019591237023594534,2.2844664080330928,26.050000000000235,1.104984411790662
pooled_ablation_n1000_full_case1,case1,full,6,100006,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.028229223245279402,1.909521690209416,26.150000000000237,0.933537603411538
pooled_ablation_n1000_full_case1,case1,full,6,100006,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03557326689434577,1.2233047172624822,28.45000000000027,0.5100742220192411
pooled_ablation_n1000_full_case1,case1,full,6,100006,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.023351742684474416,1.7474335244049608,27.05000000000025,1.137172372400626
pooled_ablation_n1000_full_case1,case1,full,7,100007,0,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.027768121126243484,0.6625371641459807,25.70000000000023,0.6625371641459807
pooled_ablation_n1000_full_case1,case1,full,7,100007,1,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.013091595495879732,1.539155276876831,28.45000000000027,1.539155276876831
pooled_ablation_n1000_full_case1,case1,full,7,100007,2,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.01368600772082676,0.8828036370407926,29.10000000000028,0.7465772689910244
pooled_ablation_n1000_full_case1,case1,full,7,100007,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.03466298867894016,0.8468372941572565,29.10000000000028,0.4808651173758085
pooled_ablation_n1000_full_case1,case1,full,7,100007,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03318649351531025,1.3942094873890976,29.90000000000029,0.8111557940864453
pooled_ablation_n1000_full_case1,case1,full,7,100007,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03720762572918994,1.0571747948787216,28.60000000000027,0.5252307994061566
pooled_ablation_n1000_full_case1,case1,full,7,100007,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.047037643507806794,1.2301139126893172,26.550000000000242,1.1319221461309255
pooled_ablation_n1000_full_case1,case1,full,7,100007,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03939108283334024,1.5109287973703889,29.050000000000278,0.5367254094484234
pooled_ablation_n1000_full_case1,case1,full,8,100008,0,3,3,1,1,1,0.25000000000000355,0.10000000000000142,0.10001429139903022,1.5920415322669657,27.85000000000026,0.6348487509004546
pooled_ablation_n1000_full_case1,case1,full,8,100008,1,3,3,1,1,1,0.25000000000000355,0.08888888888888857,0.07082790980296384,1.252107744941785,25.900000000000233,0.6429227749744576
pooled_ablation_n1000_full_case1,case1,full,8,100008,2,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.01958688187366783,1.855595893463935,26.950000000000248,1.433300438721569
pooled_ablation_n1000_full_case1,case1,full,8,100008,3,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.03082846610956233,1.3144112264335792,26.950000000000248,1.3144112264335792
pooled_ablation_n1000_full_case1,case1,full,8,100008,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.017676552203667095,2.2153002836957945,27.15000000000025,1.580133073764896
pooled_ablation_n1000_full_case1,case1,full,8,100008,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.015182857634488975,2.1792077217846026,27.300000000000253,1.5896540206793193
pooled_ablation_n1000_full_case1,case1,full,8,100008,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04046226311438238,1.540984563381829,27.400000000000254,1.540984563381829
