condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
case1_supplement_n400_no_trust,case1,no_trust,1,102001,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.01668965849551127,0.8682749563826917,29.400000000000283,0.5177759041366297
case1_supplement_n400_no_trust,case1,no_trust,1,102001,1,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.040471482177904854,1.041313640045332,25.05000000000022,0.5154313819523014
case1_supplement_n400_no_trust,case1,no_trust,1,102001,2,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.019505200761322394,0.4600921484255925,27.450000000000255,0.4600921484255925
case1_supplement_n400_no_trust,case1,no_trust,1,102001,3,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.008476546825245701,1.1698091261390282,26.550000000000242,0.7359350911397078
case1_supplement_n400_no_trust,case1,no_trust,1,102001,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.032823353169007266,1.4411863511614202,25.300000000000225,1.2514856808702508
case1_supplement_n400_no_trust,case1,no_trust,1,102001,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03808951932409288,0.17036615559138207,26.35000000000024,0.17036615559138207
case1_supplement_n400_no_trust,case1,no_trust,1,102001,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.019572654586411775,1.3858037808480246,28.250000000000266,1.3858037808480246
case1_supplement_n400_no_trust,case1,no_trust,1,102001,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.03236907109005086,1.4562136043920697,28.100000000000264,0.5880243482547861
case1_supplement_n400_no_trust,case1,no_trust,2,102002,0,3,3,1,1,1,0.25000000000000355,0.10000000000000142,0.025993683158574723,1.1432100635633176,27.05000000000025,0.3816000507435761
case1_supplement_n400_no_trust,case1,no_trust,2,102002,1,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.022008483685199948,0.9686415081475376,25.65000000000023,0.6409389477120365
case1_supplement_n400_no_trust,case1,no_trust,2,102002,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.012379792136048012,1.6072945660825748,27.550000000000257,1.2685080789762626
case1_supplement_n400_no_trust,case1,no_trust,2,102002,3,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.07043650905477498,1.1322481079602886,24.550000000000214,0.7893973913014061
case1_supplement_n400_no_trust,case1,no_trust,2,102002,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.017938415388899894,1.9236257113166473,24.450000000000212,1.5160448865325966
case1_supplement_n400_no_trust,case1,no_trust,2,102002,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.018688050868921256,2.193955755595664,28.850000000000275,1.5828106271473092
case1_supplement_n400_no_trust,case1,no_trust,2,102002,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.05884311259908964,1.5499754302201405,28.55000000000027,0.42380785698154577
case1_supplement_n400_no_trust,case1,no_trust,2,102002,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.013898149773992311,2.144298264149545,25.75000000000023,0.947557534539115
case1_supplement_n400_no_trust,case1,no_trust,3,102003,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.06333801540129047,0.897087003065541,27.75000000000026,0.897087003065541
case1_supplement_n400_no_trust,case1,no_trust,3,102003,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.011133964952065147,2.076501001839972,27.90000000000026,1.199594068306652
case1_supplement_n400_no_trust,case1,no_trust,3,102003,2,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.024053716510713048,0.5929430352627569,27.85000000000026,0.438555836981787
case1_supplement_n400_no_trust,case1,no_trust,3,102003,3,3,3,1,1,1,0.20000000000000284,0.0666666666666688,0.023197218958894553,1.6752707103308053,25.500000000000227,0.9912798145019576
case1_supplement_n400_no_trust,case1,no_trust,3,102003,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.01737806994058387,0.09733726430109141,28.200000000000266,0.09733726430109141
case1_supplement_n400_no_trust,case1,no_trust,3,102003,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.016821455440799313,0.8416501116215208,27.90000000000026,0.24190088454274716
case1_supplement_n400_no_trust,case1,no_trust,3,102003,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.0971947167343846,0.837713339140211,28.60000000000027,0.3952257693070728
case1_supplement_n400_no_trust,case1,no_trust,3,102003,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.021832354307712076,0.6915736749832413,30.6000000000003,0.6915736749832413
case1_supplement_n400_no_trust,case1,no_trust,4,102004,0,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.020705835739881908,2.3524090739962347,26.150000000000237,1.2792741441055129
case1_supplement_n400_no_trust,case1,no_trust,4,102004,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.03708623780783682,0.43213146634204486,25.75000000000023,0.43213146634204486
case1_supplement_n400_no_trust,case1,no_trust,4,102004,2,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.030812610145075348,0.9473011957297688,25.00000000000022,0.9473011957297688
case1_supplement_n400_no_trust,case1,no_trust,4,102004,3,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.031762307686685316,1.2128057572665156,26.250000000000238,0.8286314681691933
case1_supplement_n400_no_trust,case1,no_trust,4,102004,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.06997110722021982,1.2347392051850552,27.600000000000257,0.5183553932842587
case1_supplement_n400_no_trust,case1,no_trust,4,102004,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.011018945394060595,2.3857187934666095,28.900000000000276,1.7138511248161652
case1_supplement_n400_no_trust,case1,no_trust,4,102004,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.027192109299441235,0.8623460608024096,27.90000000000026,0.8623460608024096
case1_supplement_n400_no_trust,case1,no_trust,4,102004,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.023760487004635338,1.5813201937502437,28.60000000000027,0.41883474683196803
case1_supplement_n400_no_trust,case1,no_trust,5,102005,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.017653711030332198,0.7596637777087092,28.200000000000266,0.3618477032167473
case1_supplement_n400_no_trust,case1,no_trust,5,102005,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.019133933245735656,1.5700032614246906,25.950000000000234,1.1148679618041386
case1_supplement_n400_no_trust,case1,no_trust,5,102005,2,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.027298664615852553,1.3778619327382293,26.40000000000024,0.49341033223389935
case1_supplement_n400_no_trust,case1,no_trust,5,102005,3,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.02952963653213625,1.6451583607416547,25.400000000000226,0.9000446791373572
case1_supplement_n400_no_trust,case1,no_trust,5,102005,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.017092952005644636,0.962269368487065,28.55000000000027,0.3453133267883858
case1_supplement_n400_no_trust,case1,no_trust,5,102005,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.024468437172038136,0.8141461948098264,28.60000000000027,0.3281951429137846
case1_supplement_n400_no_trust,case1,no_trust,5,102005,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.04161444494084722,0.3814635397728493,27.950000000000262,0.3814635397728493
case1_supplement_n400_no_trust,case1,no_trust,5,102005,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.015128129889180534,2.0044456379827307,28.150000000000265,1.3260474656683359
case1_supplement_n400_no_trust,case1,no_trust,6,102006,0,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.010978129438224618,2.70431427708985,27.90000000000026,1.237510973212163
case1_supplement_n400_no_trust,case1,no_trust,6,102006,1,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.03117851055094666,1.315169252069958,27.550000000000257,0.4790117008020806
case1_supplement_n400_no_trust,case1,no_trust,6,102006,2,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.016888021868035168,1.6155565507337846,24.800000000000217,0.8004002557163551
case1_supplement_n400_no_trust,case1,no_trust,6,102006,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.030804530188674063,0.8887437654017972,25.550000000000228,0.4459711370287627
case1_supplement_n400_no_trust,case1,no_trust,6,102006,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03384890122640904,0.09290938770041127,25.950000000000234,0.09290938770041127
case1_supplement_n400_no_trust,case1,no_trust,6,102006,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.023377921969098363,1.031687795951391,29.20000000000028,0.5303960061427968
case1_supplement_n400_no_trust,case1,no_trust,6,102006,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.029482547619519812,1.63293981237607,25.200000000000223,1.1928966625575441
case1_supplement_n400_no_trust,case1,no_trust,6,102006,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.010201869171268868,1.9568683170907584,27.600000000000257,1.366959646303932
case1_supplement_n400_no_trust,case1,no_trust,7,102007,0,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.02567135110491801,1.9610101871684575,27.90000000000026,1.0888885241593045
case1_supplement_n400_no_trust,case1,no_trust,7,102007,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.03227872850513514,1.4643770860082679,25.80000000000023,0.9490101710985314
case1_supplement_n400_no_trust,case1,no_trust,7,102007,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.014133939768680054,1.702235756238674,25.75000000000023,1.218689228501695
