condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_full_case2,case2,full,1,99068,0,3,3,1,1,0,1.5000000000000213,0.5222222222222305,0.5190142856951299,2.6332146462937485,31.000000000000306,2.2720996233542974
formal_ablation_full_case2,case2,full,1,99068,1,3,3,1,1,0,1.8500000000000263,0.7222222222222321,0.3357954183256396,1.8205776150260364,27.300000000000253,1.2411366022345962
formal_ablation_full_case2,case2,full,1,99068,2,3,3,1,1,1,0.4000000000000057,0.1666666666666702,0.2685854565358887,1.6737073768416622,27.550000000000257,1.3635783481758175
formal_ablation_full_case2,case2,full,1,99068,3,3,3,1,1,0,1.050000000000015,0.38888888888889284,0.26321502888857146,2.1248445990597715,25.400000000000226,2.1248445990597715
formal_ablation_full_case2,case2,full,1,99068,4,2,2,1,1,0,1.1500000000000163,0.5750000000000082,0.37661117267622013,1.928193825076702,28.750000000000274,1.91745574599428
formal_ablation_full_case2,case2,full,1,99068,5,2,2,1,1,0,18.199999999999502,9.099999999999751,0.3355013016960864,2.662877405514392,42.649999999999714,2.662877405514392
formal_ablation_full_case2,case2,full,1,99068,6,2,2,1,1,0,21.549999999999255,10.774999999999627,0.47714080102545053,2.565237031152977,46.79999999999948,2.565237031152977
formal_ablation_full_case2,case2,full,1,99068,7,2,1,1,0,0,nan,nan,nan,nan,nan,3.1900284314062786
formal_ablation_full_case2,case2,full,2,99069,0,3,3,1,1,0,1.9500000000000277,0.7555555555555659,0.4189361980022191,2.05405502973117,27.20000000000025,1.5328277737088423
formal_ablation_full_case2,case2,full,2,99069,1,3,3,1,1,0,1.550000000000022,0.6000000000000085,0.39217984014200374,2.1312078401210353,25.00000000000022,2.1312078401210353
formal_ablation_full_case2,case2,full,2,99069,2,3,3,1,1,0,0.7500000000000036,0.31111111111111356,0.3642005939700656,2.0746309187000898,32.100000000000314,1.2708473245023255
formal_ablation_full_case2,case2,full,2,99069,3,3,3,1,1,0,0.9500000000000135,0.36666666666667186,0.32865630888178393,2.1283511725333217,28.55000000000027,2.0852000261625734
formal_ablation_full_case2,case2,full,2,99069,4,2,1,1,0,0,nan,nan,nan,nan,nan,3.200931079009795
formal_ablation_full_case2,case2,full,2,99069,5,2,2,1,1,0,1.0499999999999403,0.5249999999999702,0.3856012851229752,2.693002987124582,47.14999999999946,2.693002987124582
formal_ablation_full_case2,case2,full,2,99069,6,2,2,1,1,0,1.40000000000002,0.70000000000001,0.481784690001148,2.1251289195947907,24.90000000000022,2.1251289195947907
formal_ablation_full_case2,case2,full,2,99069,7,2,1,1,0,0,nan,nan,nan,nan,nan,3.1661415983737857
formal_ablation_full_case2,case2,full,3,99070,0,3,0,0,0,0,nan,nan,nan,nan,nan,4.085686345168159
formal_ablation_full_case2,case2,full,3,99070,1,3,3,1,1,0,18.399999999999196,7.955555555555193,0.3824457130332439,2.7037101234874936,46.99999999999947,2.7037101234874936
formal_ablation_full_case2,case2,full,3,99070,2,3,3,1,1,0,1.3000000000000185,0.5222222222222292,0.38627840347977177,2.332417195077233,27.75000000000026,2.332417195077233
formal_ablation_full_case2,case2,full,3,99070,3,3,3,1,1,0,0.8500000000000121,0.34444444444444855,0.3373126491382794,1.3200839767682153,30.00000000000029,1.034060517364764
formal_ablation_full_case2,case2,full,3,99070,4,2,2,1,1,0,0.5000000000000071,0.25000000000000355,0.3642695414134659,1.6407982987761984,29.500000000000284,1.577648884955423
formal_ablation_full_case2,case2,full,3,99070,5,2,1,1,0,0,nan,nan,nan,nan,nan,2.833006946274356
formal_ablation_full_case2,case2,full,3,99070,6,2,1,1,0,0,nan,nan,nan,nan,nan,2.6815790438867326
formal_ablation_full_case2,case2,full,3,99070,7,2,2,1,1,0,1.0000000000000142,0.5000000000000071,0.6673234428050692,2.430318731580598,25.250000000000224,2.430318731580598
formal_ablation_full_case2,case2,full,4,99071,0,3,2,1,0,0,nan,nan,nan,nan,nan,2.51467256718155
formal_ablation_full_case2,case2,full,4,99071,1,3,3,1,1,0,1.8000000000000256,0.7444444444444542,0.19263392526564804,2.0651827891974843,29.000000000000277,2.0651827891974843
formal_ablation_full_case2,case2,full,4,99071,2,3,3,1,1,0,20.249999999999357,8.044444444444213,0.3082360119862173,2.629914441779734,45.099999999999575,2.629914441779734
formal_ablation_full_case2,case2,full,4,99071,3,3,3,1,1,0,1.7000000000000242,0.5666666666666759,0.35231054478379864,2.38067672162819,26.45000000000024,2.2721550494522504
formal_ablation_full_case2,case2,full,4,99071,4,2,2,1,1,0,1.0000000000000142,0.5000000000000071,0.43403597914805975,2.5573235995328205,26.900000000000247,2.5573235995328205
formal_ablation_full_case2,case2,full,4,99071,5,2,1,1,0,0,nan,nan,nan,nan,nan,2.39103577682327
formal_ablation_full_case2,case2,full,4,99071,6,2,1,1,0,0,nan,nan,nan,nan,nan,3.341409268630834
formal_ablation_full_case2,case2,full,4,99071,7,2,1,1,0,0,nan,nan,nan,nan,nan,2.885883999767377
formal_ablation_full_case2,case2,full,5,99072,0,3,3,1,1,0,14.949999999999452,6.422222222221976,0.3198313604705112,2.3485445823886058,42.69999999999971,2.3485445823886058
