episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,mean_target_time,max_sync_spread,mean_sync_spread
1,case1,8,20,8,8,True,True,30.056251525878906,0.05000114440917969,0.02500009536743164
2,case1,8,20,8,8,True,True,30.049999237060547,0.0500030517578125,0.0312504768371582
4,case1,8,20,8,8,True,True,30.049999237060547,0.0500030517578125,0.0312504768371582
5,case1,8,20,8,8,True,True,30.049999237060547,0.0500030517578125,0.0312504768371582
6,case1,8,20,8,8,True,True,30.0625,0.05000114440917969,0.02500009536743164
7,case1,8,20,8,8,True,True,30.043750762939453,0.05000114440917969,0.03125
9,case1,8,20,8,8,True,True,30.049999237060547,0.05000114440917969,0.02500009536743164
10,case1,8,20,8,8,True,True,30.049999237060547,0.05000114440917969,0.03125
11,case1,8,20,8,8,True,True,30.049999237060547,0.05000114440917969,0.02500009536743164
13,case1,8,20,8,8,True,True,30.049999237060547,0.0500030517578125,0.0312504768371582
15,case1,8,20,8,8,True,True,30.056251525878906,0.05000114440917969,0.03125
16,case1,8,20,8,8,True,True,30.049999237060547,0.05000114440917969,0.02500009536743164
18,case1,8,20,8,8,True,True,30.049999237060547,0.05000114440917969,0.02500009536743164
19,case1,8,20,8,8,True,True,30.037498474121094,0.05000114440917969,0.0312502384185791
20,case1,8,20,8,8,True,True,30.043750762939453,0.05000114440917969,0.02500009536743164
