condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves,case4_geometry
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,14,99414,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.06076388888888965,0.20097455511218396,1.424209029996218,27.718750000000256,0.6030812526242592,2.7271828063459997,441575.8772378992,29.150000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,15,99415,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.041666666666667254,0.16381693380477116,1.6657038470232557,27.712500000000258,1.1104347896145421,2.9020631886375354,441637.75638849975,29.55,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,16,99416,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.06250000000000089,0.12797327455020593,1.4210955207266258,27.88125000000026,0.7724982258922951,2.884772712751882,441593.02046005457,29.05,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,17,99417,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04479166666666701,0.12929590375697225,1.2751645849167579,27.28750000000025,0.9005263114672397,2.957522166851684,441622.98018128856,29.1,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,18,99418,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.03541666666666732,0.13853527797319898,1.6649651855282968,27.175000000000253,1.2209059676816787,2.8149249198721797,441509.1110229913,28.75,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,19,99419,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.058680555555556436,0.18633919734646034,1.1950754544234632,26.68750000000024,0.6439630709498785,2.8496648948518617,441623.0000403997,28.5,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,20,99420,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.061111111111112074,0.14094164838584822,1.1800844827365293,27.71250000000026,0.5706202500360467,1.3347649553125125,441609.3336511855,30.450000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,21,99421,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.048958333333334034,0.13373457788073564,1.787397635935955,26.806250000000247,0.9431651213959829,2.989164182903144,441574.5623454709,29.55,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,22,99422,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.050694444444445264,0.16228677760148502,1.4018629612245777,27.412500000000254,0.9325386818744148,2.7980184185998698,441614.7099312139,29.35,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,23,99423,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04791666666666764,0.15019814806266946,1.3008799515219827,27.156250000000252,0.7900656133945437,2.640271445718389,441612.8076132642,30.55,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,24,99424,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05034722222222299,0.15811622437581657,1.5669348607260172,26.36875000000024,0.8064314631062345,2.3892660370755543,441527.08658466564,28.25,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,25,99425,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.047569444444445365,0.15396809182640986,1.5972493028306327,27.18125000000025,0.9157371637197491,2.995764133649432,441578.56323494593,28.6,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,26,99426,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05416666666666743,0.15510798452929112,1.36925481866658,26.987500000000246,0.8343901325594392,2.971644531345892,441629.3038766816,28.8,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
