condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99068,0,3,2,1,0,0,nan,nan,nan,nan,nan,2.5493606596651195
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99068,1,3,3,1,1,0,1.550000000000022,0.5888888888888969,0.34064631094147274,2.461775726548502,27.300000000000253,1.5443062917386594
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99068,2,3,3,1,1,1,0.4000000000000057,0.1666666666666702,0.2686025526056939,1.9690557248066674,27.550000000000257,1.5311278396936057
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99068,3,3,3,1,1,0,1.050000000000015,0.38888888888889284,0.25940989317507945,2.3665463523958508,25.400000000000226,2.3665463523958508
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99068,4,2,2,1,1,0,0.7500000000000107,0.37500000000000533,0.45167256197280065,1.6270240739940909,28.800000000000274,1.5288581259150678
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99068,5,2,1,1,0,0,nan,nan,nan,nan,nan,2.6559868773867055
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99068,6,2,2,1,1,0,21.699999999999207,10.849999999999604,0.3716554645360516,2.7666436579796816,47.49999999999944,2.7666436579796816
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99068,7,2,1,1,0,0,nan,nan,nan,nan,nan,3.1081487260055685
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99069,0,3,3,1,1,0,1.5000000000000213,0.6555555555555657,0.4346914828522234,2.4910924710592757,27.20000000000025,1.4566587121214492
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99069,1,3,3,1,1,0,1.3500000000000192,0.51111111111112,0.39960733756318473,2.1762255067737715,25.00000000000022,2.1762255067737715
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99069,2,3,3,1,1,0,0.6000000000000014,0.22222222222222263,0.40384287066606245,1.8426435453241268,32.100000000000314,1.830619413706286
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99069,3,3,3,1,1,0,0.9500000000000135,0.3666666666666731,0.3408935158623138,1.550034381248075,28.60000000000027,1.550034381248075
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99069,4,2,1,1,0,0,nan,nan,nan,nan,nan,3.4320691344347516
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99069,5,2,1,1,0,0,nan,nan,nan,nan,nan,3.1595551305822456
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99069,6,2,2,1,1,0,1.050000000000015,0.5250000000000075,0.42939140973665463,2.7422408566536487,24.90000000000022,2.7422408566536487
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99069,7,2,1,1,0,0,nan,nan,nan,nan,nan,3.0243388553532453
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99070,0,3,1,1,0,0,nan,nan,nan,nan,nan,3.893555230208578
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99070,1,3,3,1,1,0,17.999999999999197,7.833333333332974,0.32426669060209373,2.136552719137359,46.89999999999947,2.136552719137359
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99070,2,3,3,1,1,0,0.7500000000000107,0.27777777777778095,0.43736515728050973,2.5095083222627212,27.75000000000026,2.5095083222627212
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99070,3,3,3,1,1,0,0.9000000000000128,0.35555555555556023,0.34468976773877563,1.7841270888188203,30.050000000000292,0.96177599281773
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99070,4,2,2,1,1,1,0.4000000000000057,0.20000000000000284,0.36942804219952446,2.573991251154259,29.500000000000284,2.3745471746042353
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99070,5,2,2,1,1,0,0.7500000000000107,0.37500000000000533,0.7782095574222629,2.7635962429102596,29.350000000000282,2.7635962429102596
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99070,6,2,2,1,1,0,1.200000000000017,0.6000000000000085,0.3652849735788095,2.134079210960005,29.600000000000286,2.134079210960005
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99070,7,2,2,1,1,0,0.6000000000000085,0.30000000000000426,0.6668999716673623,2.293855953727096,25.250000000000224,2.293855953727096
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,4,99071,0,3,2,1,0,0,nan,nan,nan,nan,nan,2.554734628610826
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,4,99071,1,3,3,1,1,0,1.4500000000000206,0.5888888888888969,0.17951279754163063,1.9555122437483201,29.000000000000277,1.9555122437483201
