condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_full_case2,case2,full,1,99401,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.052430555555556355,0.518057062380304,1.7799313537590848,28.50625000000027,1.5000821058459468,2.9683527070593283,441811.37317814195,30.85,0.0,0.0,0.0,0.0,1.0,12.945481662898853,0.01275758394920506,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,2,99402,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.051388888888889525,0.5329428851472595,1.465911423380013,28.250000000000266,0.9960410500443178,2.5818685021267243,441821.8603973549,31.900000000000002,0.0,0.0,0.0,0.0,1.0,10.960692987239845,0.010933130471326295,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,3,99403,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.04791666666666734,0.4749122461913949,1.6254303615238568,27.10000000000025,1.1244596199524144,2.571095491787685,441758.2730552286,29.3,0.0,0.0,0.0,0.0,1.0,9.566477723337957,0.020034038434256014,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,4,99404,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.054166666666667584,0.5703528796704478,1.6264025541313778,27.57500000000026,1.323185759589847,2.968218473954548,441765.34051235917,29.950000000000003,0.0,0.0,0.0,0.0,1.0,12.66222415642525,0.012383786465956085,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,5,99405,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03437500000000049,0.48514764628368845,1.5717113498289434,27.80000000000026,1.2958201746895104,2.707506495049583,441793.8143137504,29.6,0.0,0.0,0.0,0.0,1.0,10.24047534603511,0.01259035055115497,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,6,99406,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.037847222222222955,0.5214091946513504,1.8209612797300292,27.73125000000026,1.32742510861588,2.9951023958330256,441793.26137020474,29.35,0.0,0.0,0.0,0.0,1.0,9.064531064220052,0.021232297348324356,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,7,99407,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03368055555555609,0.4700844675739517,1.73772349423687,25.387500000000223,1.4308024504290249,2.9891397447635133,441649.02246386994,27.55,0.0,0.0,0.0,0.0,1.0,12.423262495156298,0.01332181474696646,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,8,99408,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.04409722222222305,0.5298875796067284,1.6018816270663956,28.825000000000276,1.2841579030549544,2.5232950244638968,441853.46277666464,31.450000000000003,0.0,0.0,0.0,0.0,1.0,11.74268458576189,0.021990661522667328,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,9,99409,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03993055555555618,0.5865743173910862,1.9520685489256975,25.937500000000234,1.583281939351747,2.7261541523305177,441700.4894790583,27.55,0.0,0.0,0.0,0.0,1.0,9.979026627926538,0.013191945693670479,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,10,99410,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.043402777777778345,0.43954557654738446,1.595020403640204,28.206250000000267,1.159344124620065,2.07255855434318,441803.33850660064,31.85,0.0,0.0,0.0,0.0,1.0,9.487997678028702,0.01779085254445839,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,11,99411,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.05625000000000095,0.6100815932119734,1.66141157360611,28.393750000000267,1.119046339437259,2.794748801850396,441849.6134506639,30.55,0.0,0.0,0.0,0.0,1.0,8.215485811156745,0.012650807474441717,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,12,99412,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03958333333333404,0.6421866143851069,1.827798866289042,28.031250000000263,1.4608681805901205,2.9571144594356626,441807.090078992,30.0,0.0,0.0,0.0,0.0,1.0,9.560727101889324,0.018141392414232575,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,13,99413,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03368055555555578,0.5750455393088849,1.7481686332831323,28.425000000000267,1.4621582965294513,2.9770971998344513,441835.91267941537,30.650000000000002,0.0,0.0,0.0,0.0,1.0,11.22950186891241,0.019581281135602882,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,14,99414,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.030555555555556186,0.40068203608150665,1.70202649253977,28.46875000000027,1.500796379773769,2.7412999244226373,441821.02442544943,30.0,0.0,0.0,0.0,0.0,1.0,8.823802846540737,0.011316279962677369,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,15,99415,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0479166666666672,0.5186387898308988,1.8727612185210682,27.537500000000257,1.3817921474235395,2.9165263884331276,441783.6357468882,30.450000000000003,0.0,0.0,0.0,0.0,1.0,10.419400696581622,0.017912976246464592,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,16,99416,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.04826388888888933,0.38123293745251685,1.9117807750288676,28.850000000000275,1.6468007400423885,2.7397121820278953,441856.1098293342,30.200000000000003,0.0,0.0,0.0,0.0,1.0,13.337381034156456,0.009257031922467249,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,17,99417,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.04131944444444513,0.3717452087584971,1.5382077484655081,27.593750000000256,1.4170228365614619,2.818267961669397,441790.65956969484,29.1,0.0,0.0,0.0,0.0,1.0,9.832769043423006,0.017145967187295105,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,18,99418,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03333333333333366,0.4774191461119226,2.0950254375892117,28.137500000000266,1.6496915635129512,2.8674953585425285,441780.5996824448,29.900000000000002,0.0,0.0,0.0,0.0,1.0,10.546359595459897,0.016811178261106344,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,19,99419,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.04340277777777864,0.550223775664527,1.5582782531870178,27.481250000000255,1.4038670928910157,2.952925644899624,441804.2641469138,29.700000000000003,0.0,0.0,0.0,0.0,1.0,8.850104764916518,0.01273949134590553,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,20,99420,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.039930555555556024,0.45649388756418907,1.8782559691813825,28.72500000000027,1.6596243849189798,2.9100359559943825,441845.1872215569,31.200000000000003,0.0,0.0,0.0,0.0,1.0,9.60484752645977,0.01432488818636568,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,21,99421,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.04583333333333428,0.44847613181127927,1.8692343887354383,28.412500000000268,1.4858671050397647,2.7028233252043488,441833.33058545814,31.75,0.0,0.0,0.0,0.0,1.0,9.565243597637247,0.020268204918329782,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,22,99422,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0371527777777784,0.43560981243077784,1.5182411099506126,28.100000000000264,1.325886570873946,2.984225908495583,441826.8939737778,30.6,0.0,0.0,0.0,0.0,1.0,10.769461893287033,0.011599669164890664,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,23,99423,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03611111111111135,0.49176356025552825,1.798547470015849,28.331250000000264,1.5909366108861138,2.6959782825445235,441826.35079359234,32.6,0.0,0.0,0.0,0.0,1.0,13.540991220124088,0.02144143347653302,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,24,99424,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.028819444444444953,0.3784008434120273,2.0903268595612303,27.406250000000256,1.8355472050760888,2.910768258478993,441759.57839563565,29.700000000000003,0.0,0.0,0.0,0.0,1.0,10.81948048129603,0.008229080597522176,0.0,nan,nan,nan,0
formal_ablation_full_case2,case2,full,25,99425,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0493055555555563,0.4663464665032304,1.3891919432718656,28.187500000000263,0.9740907760778343,2.5320364270197104,441818.08055469376,31.25,0.0,0.0,0.0,0.0,1.0,10.344417795570163,0.019278050088251376,0.0,nan,nan,nan,0
