condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,0,3,3,1,1,1,0.14999999999999147,0.06666666666666288,0.3728046071405328,2.2168488573070584,33.80000000000022,1.7003354787039495
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,1,3,3,1,1,0,0.5500000000000078,0.24444444444444713,0.33899384443096325,1.147629410794923,29.25000000000028,0.998238686120576
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,2,3,3,1,1,0,0.5500000000000078,0.18888888888889235,0.39019578191435395,1.1208381368133584,27.80000000000026,1.018187103503483
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,3,3,3,1,1,0,0.8000000000000114,0.2888888888888938,0.3162716126154114,1.3178050022525292,27.550000000000257,1.2461318217828856
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,4,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.3925530688929757,0.6811770476569734,27.650000000000258,0.6811770476569734
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,5,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.3862539266863734,2.1332026069380756,31.700000000000315,1.8196452401545562
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,6,2,2,1,1,1,0.30000000000000426,0.15000000000000213,0.3380722279803278,2.586922146952978,30.400000000000297,2.586922146952978
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.38410040716161575,2.0657400870388942,31.700000000000315,1.724870631746283
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,0,3,3,1,1,1,0.350000000000005,0.15555555555555736,0.35952332976930684,1.5524554859217308,30.750000000000302,1.2061782973502893
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,1,3,3,1,1,1,0.350000000000005,0.13333333333333522,0.4168886043885945,2.034755974493676,29.600000000000286,1.6207709609511578
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,2,3,3,1,1,0,0.70000000000001,0.2888888888888938,0.30241178419291953,1.8368688505474762,28.650000000000272,1.3676189685365217
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,3,3,3,1,1,0,0.6000000000000085,0.22222222222222499,0.39096178164130774,0.9619034630683879,28.100000000000264,0.9094347210517254
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,4,2,2,1,1,1,0.30000000000000426,0.15000000000000213,0.4522990292724721,2.3274964001415865,30.950000000000305,1.9133704231446829
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,5,2,2,1,1,1,0.30000000000000426,0.15000000000000213,0.4906391864369258,1.3043671898241436,28.60000000000027,1.3043671898241436
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,6,2,2,1,1,1,0.4000000000000057,0.20000000000000284,0.43343111438760296,1.7517333324391111,31.150000000000308,1.1856754699760317
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.33217769143835457,0.7286106751617265,29.90000000000029,0.7286106751617265
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,0,3,3,1,1,1,0.4500000000000064,0.1666666666666702,0.34324583328006764,1.3878885299826884,27.500000000000256,1.2440314461850035
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,1,3,3,1,1,1,0.25000000000000355,0.08888888888888975,0.3912545910699441,1.1263728667650825,30.900000000000304,1.0093861979557126
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,2,3,3,1,1,1,0.30000000000000426,0.11111111111111309,0.41490902818179487,0.974897817328907,28.50000000000027,0.8559377487483936
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,3,3,3,1,1,1,0.350000000000005,0.12222222222222356,0.3506684863940708,2.363157370426759,27.85000000000026,1.9636209124274788
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,4,2,2,1,1,1,0.350000000000005,0.1750000000000025,0.3536653567135178,2.5031604846608873,28.650000000000272,2.5031604846608873
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,5,2,2,1,1,1,0.350000000000005,0.1750000000000025,0.34969816238524387,1.4720019255247683,29.95000000000029,1.4720019255247683
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,6,2,2,1,1,1,0.3499999999999801,0.17499999999999005,0.30564550424070036,2.3740202067958616,32.90000000000027,1.6560719566177653
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,7,2,2,1,1,1,0.19999999999998863,0.09999999999999432,0.4134642895958192,1.128647957131873,34.200000000000195,1.1256462901662445
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,0,3,3,1,1,1,0.29999999999998295,0.12222222222221528,0.41269297634398944,1.3547922825429672,32.90000000000027,1.0186448198565028
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,1,3,3,1,1,0,0.5000000000000071,0.1888888888888912,0.3262235953576406,1.1106559330680585,30.850000000000303,0.8358291588657248
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,2,3,3,1,1,1,0.4500000000000064,0.1777777777777807,0.2541821432439214,1.6354025291007932,29.550000000000285,1.3707552299194299
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,3,3,3,1,1,1,0.25000000000000355,0.10000000000000024,0.2907269632502207,1.409093841107514,31.700000000000315,1.409093841107514
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,4,2,2,1,1,0,0.5500000000000078,0.2750000000000039,0.4414955924559666,1.80148655675908,27.15000000000025,1.3203418966631024
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,5,2,2,1,1,0,0.7500000000000107,0.37500000000000533,0.33464843466452043,2.4734981519117554,31.650000000000315,1.5809495677101757
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,6,2,2,1,1,0,0.5500000000000078,0.2750000000000039,0.4520065869742087,0.7525963498682353,28.50000000000027,0.7525963498682353
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,7,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.334919387818293,2.1383333921081555,30.950000000000305,1.6992849647655368
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,0,3,3,1,1,0,0.5000000000000071,0.2111111111111145,0.35350118124167645,0.8423791327266469,30.800000000000303,0.8311656007920057
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,1,3,3,1,1,1,0.25000000000000355,0.1111111111111119,0.4785130568326153,1.2176483070143933,30.800000000000303,1.0564406711551648
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,2,3,3,1,1,0,0.6500000000000092,0.24444444444444832,0.30895519893878337,2.4194946610538257,30.750000000000302,1.4064186376054109
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,3,3,3,1,1,0,0.9500000000000135,0.3555555555555614,0.32745536100878847,1.4492957613905249,29.750000000000288,1.0999925119802454
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,4,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.3252562375618679,1.8698201128010663,28.200000000000266,1.70185583476081
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,5,2,2,1,1,1,0.350000000000005,0.1750000000000025,0.32260577097094156,2.621303516914029,30.400000000000297,2.111276135481349
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,6,2,2,1,1,1,0.4000000000000057,0.20000000000000284,0.4268993405971323,1.7514420471742231,27.950000000000262,1.7514420471742231
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,7,2,2,1,1,1,0.19999999999998863,0.09999999999999432,0.28809909720099747,0.8247723160111852,33.20000000000025,0.680801020083251
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,0,3,3,1,1,1,0.30000000000000426,0.12222222222222474,0.3965901486759815,1.7192694106489126,28.800000000000274,1.3658532263333665
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,1,3,3,1,1,1,0.4000000000000057,0.16666666666666904,0.30597746571187745,1.5967573555247274,28.200000000000266,0.8886366290664441
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,2,3,3,1,1,0,0.6000000000000085,0.26666666666667044,0.3829378734693001,1.4268407209551877,26.950000000000248,1.1741548042204721
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,3,3,3,1,1,0,0.6000000000000085,0.22222222222222499,0.41695577890657365,1.3889847120561767,30.300000000000296,1.1734383808270223
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,4,2,2,1,1,1,0.350000000000005,0.1750000000000025,0.4138086801617298,2.0509263082038394,28.200000000000266,1.7324459042081168
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,5,2,2,1,1,0,0.5000000000000071,0.25000000000000355,0.32622680794211906,1.6712877148858019,28.50000000000027,1.6712877148858019
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,6,2,2,1,1,1,0.4500000000000064,0.2250000000000032,0.5260420804977072,1.7727023940273512,29.550000000000285,1.7401783824349228
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,7,2,2,1,1,1,0.19999999999998863,0.09999999999999432,0.3367895106425134,2.0459610433237545,34.1500000000002,0.9227320031268441
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.3332759052224297,1.6904967481768887,31.850000000000318,1.0258524949119283
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,1,3,3,1,1,1,0.30000000000000426,0.1111111111111119,0.313985897766697,2.432983810986963,31.35000000000031,1.1196501794573275
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,2,3,3,1,1,1,0.4000000000000057,0.14444444444444807,0.34742822975193494,1.7165421359752866,30.00000000000029,1.1371071742413785
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,3,3,3,1,1,0,0.5500000000000078,0.20000000000000404,0.36974728543685503,2.170399241668543,28.40000000000027,1.5734347029532831
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,4,2,2,1,1,1,0.30000000000000426,0.15000000000000213,0.2976628096397661,1.548123453300455,26.45000000000024,0.8142173625899896
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,5,2,2,1,1,0,0.8000000000000114,0.4000000000000057,0.37078025483874844,1.6011133903278716,29.050000000000278,1.4246107275946458
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.4169924348768812,2.4440524818128813,28.150000000000265,1.8894741428510025
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,7,2,2,1,1,1,0.14999999999999147,0.07499999999999574,0.32130605809255797,1.5518790016707416,33.90000000000021,1.5518790016707416
