condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_no_gru_case2,case2,no_gru,1,99035,0,3,3,1,1,0,1.7000000000000242,0.6777777777777878,0.3367730073853619,1.6354066347368805,27.450000000000255,1.6354066347368805
formal_ablation_no_gru_case2,case2,no_gru,1,99035,1,3,2,1,0,0,nan,nan,nan,nan,nan,2.7312731454907286
formal_ablation_no_gru_case2,case2,no_gru,1,99035,2,3,1,1,0,0,nan,nan,nan,nan,nan,3.1368389906849785
formal_ablation_no_gru_case2,case2,no_gru,1,99035,3,3,3,1,1,0,24.84999999999888,10.855555555555057,0.4010135304788562,2.642510067948512,52.74999999999914,2.5335214271175555
formal_ablation_no_gru_case2,case2,no_gru,1,99035,4,2,2,1,1,0,0.6000000000000085,0.30000000000000426,0.7231001311856804,2.3170095372668102,24.700000000000216,2.3170095372668102
formal_ablation_no_gru_case2,case2,no_gru,1,99035,5,2,2,1,1,0,1.1500000000000163,0.5750000000000082,0.4275199085987056,2.6297030502850722,25.950000000000234,2.6297030502850722
formal_ablation_no_gru_case2,case2,no_gru,1,99035,6,2,2,1,1,0,17.499999999999403,8.749999999999702,0.36454437692987135,2.6784342489981365,43.89999999999964,2.6784342489981365
formal_ablation_no_gru_case2,case2,no_gru,1,99035,7,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.46147671165853493,1.713975530943758,27.15000000000025,1.713975530943758
formal_ablation_no_gru_case2,case2,no_gru,2,99036,0,3,3,1,1,0,1.5000000000000213,0.5777777777777852,0.2708682245374039,2.5697060542123613,30.100000000000293,2.5697060542123613
formal_ablation_no_gru_case2,case2,no_gru,2,99036,1,3,2,1,0,0,nan,nan,nan,nan,nan,2.8145950045946218
formal_ablation_no_gru_case2,case2,no_gru,2,99036,2,3,1,1,0,0,nan,nan,nan,nan,nan,3.2426900750979564
formal_ablation_no_gru_case2,case2,no_gru,2,99036,3,3,3,1,1,0,24.949999999998816,10.755555555555027,0.5365576129943711,2.738544306004707,53.64999999999909,2.738544306004707
formal_ablation_no_gru_case2,case2,no_gru,2,99036,4,2,2,1,1,0,0.8500000000000121,0.42500000000000604,0.3162082604311141,2.232069995456575,25.10000000000022,2.232069995456575
formal_ablation_no_gru_case2,case2,no_gru,2,99036,5,2,2,1,1,0,46.54999999999771,23.274999999998855,0.3076513689304927,2.388771016415469,73.59999999999796,2.3357126479265244
formal_ablation_no_gru_case2,case2,no_gru,2,99036,6,2,2,1,1,0,1.2500000000000178,0.6250000000000089,0.3068744128077779,2.658056158284901,27.85000000000026,2.026948300507984
formal_ablation_no_gru_case2,case2,no_gru,2,99036,7,2,2,1,1,0,0.6500000000000092,0.3250000000000046,0.4657030120040483,2.3806359627191913,28.300000000000267,2.3806359627191913
formal_ablation_no_gru_case2,case2,no_gru,3,99037,0,3,3,1,1,0,1.200000000000017,0.44444444444445114,0.2266271169674509,2.594783072184244,31.20000000000031,2.5610194767076897
formal_ablation_no_gru_case2,case2,no_gru,3,99037,1,3,2,1,0,0,nan,nan,nan,nan,nan,2.9349030574565584
formal_ablation_no_gru_case2,case2,no_gru,3,99037,2,3,2,1,0,0,nan,nan,nan,nan,nan,3.231045181058517
formal_ablation_no_gru_case2,case2,no_gru,3,99037,3,3,2,1,0,0,nan,nan,nan,nan,nan,3.089041379085375
formal_ablation_no_gru_case2,case2,no_gru,3,99037,4,2,2,1,1,0,1.1500000000000163,0.5750000000000082,0.30938241018818446,2.58477159844909,23.900000000000205,2.58477159844909
formal_ablation_no_gru_case2,case2,no_gru,3,99037,5,2,2,1,1,0,20.749999999999314,10.374999999999657,0.3895057347777639,2.403802870451371,45.799999999999535,2.403802870451371
formal_ablation_no_gru_case2,case2,no_gru,3,99037,6,2,2,1,1,0,12.549999999999692,6.274999999999846,0.4295090551664009,2.5179498192510508,38.84999999999993,2.5179498192510508
formal_ablation_no_gru_case2,case2,no_gru,3,99037,7,2,2,1,1,0,0.7500000000000107,0.37500000000000533,0.606781815752592,1.9230658036568415,26.45000000000024,1.9230658036568415
