condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_no_gru_case1,case1,no_gru,1,98401,0,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.04811331725486614,0.931923460544246,25.200000000000223,0.931923460544246
formal_ablation_no_gru_case1,case1,no_gru,1,98401,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.029519209192179263,1.2852464013388871,26.200000000000237,0.7257247255186535
formal_ablation_no_gru_case1,case1,no_gru,1,98401,2,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.033217002897924036,1.770937429047595,24.700000000000216,0.6152267383612208
formal_ablation_no_gru_case1,case1,no_gru,1,98401,3,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.019669547310817135,1.4507084123038887,26.850000000000247,0.6126920646704107
formal_ablation_no_gru_case1,case1,no_gru,1,98401,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.0163055025151351,0.7944409397677035,26.100000000000236,0.7944409397677035
formal_ablation_no_gru_case1,case1,no_gru,1,98401,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.0844095905057616,1.8045217875805308,26.650000000000244,1.096650235453251
formal_ablation_no_gru_case1,case1,no_gru,1,98401,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.050701602430780326,1.2354121963109952,25.00000000000022,1.0494210537407143
formal_ablation_no_gru_case1,case1,no_gru,1,98401,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.06203236729566117,1.2696635460157106,25.350000000000225,1.2696635460157106
formal_ablation_no_gru_case1,case1,no_gru,2,98402,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.06265929369842525,2.159924418233704,26.50000000000024,1.0022941060052188
formal_ablation_no_gru_case1,case1,no_gru,2,98402,1,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.03307055154800396,2.0604450819605584,24.850000000000218,1.1139306906117787
formal_ablation_no_gru_case1,case1,no_gru,2,98402,2,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.05844470184896366,1.3226330528548484,26.30000000000024,1.1164638017610466
formal_ablation_no_gru_case1,case1,no_gru,2,98402,3,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.02817214815513706,1.310694788055265,24.90000000000022,0.8889715927533203
formal_ablation_no_gru_case1,case1,no_gru,2,98402,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.013259957228931503,1.2464280602910396,27.500000000000256,0.5783691866977261
formal_ablation_no_gru_case1,case1,no_gru,2,98402,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01902830888564782,1.7058514878380042,24.650000000000215,0.6750202317851833
formal_ablation_no_gru_case1,case1,no_gru,2,98402,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.018853332534996506,1.3724711250395005,28.900000000000276,0.7696424526964994
formal_ablation_no_gru_case1,case1,no_gru,2,98402,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03795818933676215,0.7194968570871076,26.600000000000243,0.33136274897012474
formal_ablation_no_gru_case1,case1,no_gru,3,98403,0,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.02746951417222084,1.662686213094992,28.300000000000267,1.1969875624405064
formal_ablation_no_gru_case1,case1,no_gru,3,98403,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.045803156942944644,1.1764222095860264,27.600000000000257,0.7129703460447798
formal_ablation_no_gru_case1,case1,no_gru,3,98403,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.03167495318889888,0.6023141160598268,24.800000000000217,0.28230631477994916
formal_ablation_no_gru_case1,case1,no_gru,3,98403,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.02780531029236187,1.6247607533663242,26.30000000000024,0.6453514849596597
formal_ablation_no_gru_case1,case1,no_gru,3,98403,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.02241576069758347,1.3912824075201042,26.800000000000246,1.3912824075201042
formal_ablation_no_gru_case1,case1,no_gru,3,98403,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.0412632466882183,0.9972157874146725,27.550000000000257,0.5701674697575796
formal_ablation_no_gru_case1,case1,no_gru,3,98403,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.019848901878714006,1.2117064627105092,29.400000000000283,0.5787067857036492
formal_ablation_no_gru_case1,case1,no_gru,3,98403,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02649497416557723,0.4992816492668726,26.900000000000247,0.44173600666681784
formal_ablation_no_gru_case1,case1,no_gru,4,98404,0,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.01649633683280063,2.258218765593286,28.100000000000264,1.0003945649448869
formal_ablation_no_gru_case1,case1,no_gru,4,98404,1,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.020103146440567248,1.9582314463142918,27.15000000000025,1.1127847600330079
formal_ablation_no_gru_case1,case1,no_gru,4,98404,2,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.03324162942878158,0.4799218286483304,23.400000000000198,0.31593438879058944
formal_ablation_no_gru_case1,case1,no_gru,4,98404,3,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.018320922804449195,1.3441594773316279,27.650000000000258,0.5907469091434164
formal_ablation_no_gru_case1,case1,no_gru,4,98404,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03857942086991471,1.5964727342970693,28.900000000000276,0.48070807309631075
formal_ablation_no_gru_case1,case1,no_gru,4,98404,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.029394061375056117,1.5299297752672911,25.250000000000224,0.49388714058533356
formal_ablation_no_gru_case1,case1,no_gru,4,98404,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04385031224959796,0.42489089436989214,27.350000000000254,0.42489089436989214
formal_ablation_no_gru_case1,case1,no_gru,4,98404,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.06649250112854985,0.8262000237970275,25.450000000000227,0.30805745540835816
formal_ablation_no_gru_case1,case1,no_gru,5,98405,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.05115222516115159,1.0034673475459115,25.65000000000023,0.33867373198050615
formal_ablation_no_gru_case1,case1,no_gru,5,98405,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.019885846578180436,1.6314865095033089,26.100000000000236,1.2112155736069699
formal_ablation_no_gru_case1,case1,no_gru,5,98405,2,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.051285684566739535,1.0546386099517118,28.050000000000264,1.0546386099517118
formal_ablation_no_gru_case1,case1,no_gru,5,98405,3,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.04619353812168047,1.5080236990404394,28.50000000000027,0.43794222052909665
formal_ablation_no_gru_case1,case1,no_gru,5,98405,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.029410797274540892,1.025102124087629,25.400000000000226,1.025102124087629
formal_ablation_no_gru_case1,case1,no_gru,5,98405,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.055410716032555804,0.8115484477486683,25.75000000000023,0.20750671478710062
formal_ablation_no_gru_case1,case1,no_gru,5,98405,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.0302140344501099,1.528635345277854,29.750000000000288,0.970291937514016
formal_ablation_no_gru_case1,case1,no_gru,5,98405,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.018424402667869426,1.9310387357923227,27.85000000000026,1.609223701242049
formal_ablation_no_gru_case1,case1,no_gru,6,98406,0,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.02713221545572965,1.8187278909704727,26.050000000000235,0.9061791199202226
formal_ablation_no_gru_case1,case1,no_gru,6,98406,1,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.023760363640726655,0.7919143461457967,26.250000000000238,0.3685579214834999
formal_ablation_no_gru_case1,case1,no_gru,6,98406,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.028660054883838687,0.7787148479362486,28.40000000000027,0.3359889333084673
formal_ablation_no_gru_case1,case1,no_gru,6,98406,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.024538795421033172,1.774686907739178,29.050000000000278,0.6077121933056505
formal_ablation_no_gru_case1,case1,no_gru,6,98406,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02386246260019451,1.8602624386676656,28.150000000000265,1.2616894354518418
formal_ablation_no_gru_case1,case1,no_gru,6,98406,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.05512352660453755,1.3071008459204607,28.350000000000268,1.1014817816994287
formal_ablation_no_gru_case1,case1,no_gru,6,98406,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.033817156998974404,2.284660217304403,27.15000000000025,1.0874115633705501
