episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.5876659362111,8371.753318724222
2,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.5694338383619,8371.388676767237
3,case1,8,20,8,8,True,True,0.049999237060546875,0.031249523162841797,418.5265606120229,8370.531212240458
4,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.6513006465044,8373.026012930088
5,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.5817523264792,8371.635046529584
6,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.58560345266017,8371.712069053203
7,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.5693234435283,8371.386468870565
8,case1,8,20,8,8,True,True,0.049999237060546875,0.031249523162841797,418.6247038794216,8372.494077588432
9,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.58132888781836,8371.626577756368
10,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.5530636646319,8371.061273292638
11,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.550765148364,8371.01530296728
12,case1,8,19,8,7,True,False,0.049999237060546875,0.031249523162841797,424.6227485284209,8492.454970568419
13,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.59137261495925,8371.827452299185
14,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.6177827458363,8372.355654916726
15,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.57470517931506,8371.494103586301
16,case1,8,19,8,7,True,False,0.049999237060546875,0.02857099287211895,423.81937808501533,8476.387561700307
17,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.5785018198192,8371.570036396384
18,case1,8,20,8,8,True,True,0.049999237060546875,0.031249523162841797,418.566307211807,8371.32614423614
19,case1,8,19,8,7,True,False,0.049999237060546875,0.02857099287211895,423.7600675017573,8475.201350035146
20,case1,8,20,8,8,True,True,0.049999237060546875,0.024999618530273438,418.6422110175714,8372.844220351428
